Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment
1,1201,Oxamic acid,C2H3NO3,9,A',12.2,,2.901,1.22
2,1201,perfluorobutadiene,C4F6,16,B,143.4,,1.012,-2.917
3,1201,"Propane, 2-methoxy-",C4H10O,23,A,81.6,,1.242,-1.582
4,1201,"Thiophene, 2,3-dihydro-",C4H6S,13,A,2.3,,1.487,-2.954
6,1201,benzoic acid,C6H5COOH,15,A',205,,2.157,-7.233
13,1201,Trimethylamine,N(CH3)3,5,A1,25.2,,0.744,-3.485
15,1202,"2-Propenoic acid, methyl ester",C4H6O2,15,A,38.6,,1.637,-3.902
16,1202,2-Pyrrolidinone,C4H7NO,18,A,0.4,,5.057,5.466
18,1202,Fluorobenzene,C6H5F,26,B2,0,,1.676,-1.587
21,1202,Methyl nitrite,CH3ONO,6,A',4,,4.017,-5.098
24,1203,Diethylhydroxylamine,C4H11NO,14,A',2.4,,2.533,1.112
29,1203,Alanine,CH3CH(NH2)COOH,17,A,7.9,,5.56,7.727
30,1203,Lithium borohydride,LiBH4,3,A1,148.7,,6.307,10.26
32,1204,"2,5-dihydrothiophene-3-ol",C4H6OS,13,A,22.5,,3.831,8.361
34,1204,phenyl cyanide,C6H5CN,28,B2,2.7,,4.853,-12.582
36,1204,"Methane, bromodichloro-",CHBrCl2,2,A',52.9,6.5,1.26,-1.931
37,1204,allenediol,HOCHCCHOH,5,A,30.7,,0.823,5.155
40,1205,1-chloro-1-fluoroethylene,C2H2ClF,5,A',210.8,,2.617,-2.7
42,1205,"1,2,3-Propanetriol",C3H8O3,18,A,13.1,,2.261,-1.587
43,1205,Cyclobutanone,C4H6O,24,B2,2.5,,0.958,3.127
46,1205,Cyclopentanamine,C5H11N,36,"A""",0,,1.361,0.795
47,1205,1-Pentanethiol,C5H12S,38,"A""",0.2,,1.735,-2.235
51,1205,Calicene,C8H6,30,B2,3.6,,4.876,11.083
52,1205,methyl acetate,CH3COOCH3,11,A',4.3,,1.869,1.939
53,1205,monomethyl copper,CuCH3,2,A1,62.1,,3.525,1.046
60,1206,Butanoic acid,C4H8O2,20,A,150.7,,2.134,1.477
62,1206,"Pentane, 1-chloro-",C5H11Cl,36,"A""",0.1,,2.605,4.813
66,1206,Cyclopentanone,C5H8O,10,A,0.3,,3.011,1.274
70,1206,hydrogen thioperoxide,HOSH,3,A,61.9,,1.943,-1.821
71,1207,hexafluoropropene,C3F6,5,A',240.7,0.6,1.064,3.003
73,1207,1-Chloro-2-ethoxyethane,C4H9ClO,31,"A""",7.5,,2.378,2.408
75,1207,Cyclopentanol,C5H10O,23,A,32.6,,2.911,2.993
80,1208,"1-Propanamine, 2-methyl-",C(NH2)H2C(CH3)HCH3,24,A,0.1,,0.999,0.719
84,1208,(E)-3-Pentenenitrile,C5H7N,17,A,0,,4.445,6.938
86,1208,orthodifluorobenzene,C6H4F2,26,B2,42.6,,2.841,-0.836
87,1208,Anisole,C6H5OCH3,16,A',33.5,,1.351,-9.176
90,1208,"Ethene, 1,2-dichloro-, (Z)-",CHClCHCl,3,A1,0.1,,1.816,4.468
