Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole moment,
20,1202,Norbornene,C7H10,12,A',1.1,,0.161,
27,1203,Ethylbenzene,C6H5CH2CH3,37,"A""",0,,0.242,
48,1205,"Cyclobutane, methylene-",C5H8,11,A',0.2,,0.513,
68,1206,toluene,C6H5CH3,30,"A""",0,,0.271,
89,1208,"Propane, 1,2-dichloro-",CH2ClCHClCH3,14,A,25.5,,0.638,
93,1209,Furazan,C2H2N2O,13,B2,2.6,1,3.808,
104,1210,Coronene,C24H12,4,A1g,0,,0,
115,1211,Pyrene,C16H10,8,Ag,0,,0,
125,1212,Pyridine,C5H5N,6,A1,5.2,,2.314,
195,1219,"2-Oxetanone, 4-methylene-",C4H4O2,10,A,4.3,,4.011,
247,1223,"1,3-difluoropropane",CH2FCH2CH2F,8,A,1.5,8.3,2.205,
255,1224,Oxepane,C6H12O,29,A,3.9,1.9,1.435,
418,1239,meta-xylene,CH3C6H4CH3,18,A',0.4,,0.259,
453,1242,Norbornadiene,C7H8,24,B1,0,,0.036,
458,1242,(Z)-1-Chloro-2-fluoroethene,CHFCHClz,5,A',39,,2.617,
469,1243,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",CF2ClCFCl2,2,A,198.9,,0.428,
485,1244,nitramide,NH2NO2,10,"A""",105.4,,Nan,
2401,1404,"Propane, 2,2-dichloro-",CH3CCl2CH3,24,B2,7.1,3.1,2.63,
3177,1454,Propadienal,C3H2O,4,A1,7.1,14.8,3.138,
5186,1652,Ammonia Dimer,NH3NH3,16,Bu,30.7,,0,
