Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment
22,1202,cyanomethanol,HOCH2CN,8,A,28.9,3,3.242
92,1208,N-methylformamide,HCONHCH3,12,A,109.1,,4.085
134,1213,Oxetane,C3H6O,10,A2,0,,2.204
157,1216,borohydride,BH4,3,A1,53.6,,1.152
336,1232,"1,1,1,2-tetrachloroethane",CH2ClCCl3,13,"A""",12.7,7,1.695
483,1244,"Ethane, 1,1,2,2-tetrachloro-",CHCl2CHCl2,13,B,31,,2.059
866,1277,"2-Butene, 1-chloro-",CH2ClCHCHCH3,15,A,59.1,,2.76
1021,1289,Acetaldoxime,CH3CHNOH,9,A',68.3,,0.825
1245,1304,Methylene chloride,CH2Cl2,8,B2,73.5,1.9,1.993
1250,1304,aminomethanimine,NHCHNH2,8,A,33,,2.813
2275,1398,diformyl ether,CHOOCHO,11,B,18.8,8.6,3.91
5421,1741,Calcium Carbonate,CaCO3,1,A1,814.2,,17.269
5688,2023,Isothiocyanic acid,HNCS,2,A',1083.5,,3.117
5690,2027,Iron pentacarbonyl,Fe(CO)5,14,E,5260.1,,2.817
5720,2110,Potassium cyanide,KCN,1,A',48.1,,10.783
5815,2227,Zinc monocyanide,ZnCN,1,Σ,18.3,,4.711
93,1209,Furazan,C2H2N2O,13,B2,2.6,1,3.808
458,1242,(Z)-1-Chloro-2-fluoroethene,CHFCHClz,5,A',39,,2.617
