Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment
1,1201,Oxamic acid,C2H3NO3,9,A',12.2,,2.901,1.22
2,1201,perfluorobutadiene,C4F6,16,B,143.4,,1.012,-2.917
21,1202,Methyl nitrite,CH3ONO,6,A',4,,4.017,-5.098
30,1203,Lithium borohydride,LiBH4,3,A1,148.7,,6.307,10.26
37,1204,allenediol,HOCHCCHOH,5,A,30.7,,0.823,5.155
40,1205,1-chloro-1-fluoroethylene,C2H2ClF,5,A',210.8,,2.617,-2.7
71,1207,hexafluoropropene,C3F6,5,A',240.7,0.6,1.064,3.003
90,1208,"Ethene, 1,2-dichloro-, (Z)-",CHClCHCl,3,A1,0.1,,1.816,4.468
94,1209,"1H-Tetrazole, 1-methyl-",C2H4N4,10,A',31.2,,5.991,0.865
105,1210,"1-Propene, 3-chloro-",C3H5Cl,11,A,0.6,,2.422,0.967
106,1210,Cyclopropanol,C3H5OH,11,A,41.9,,0.678,-3.451
121,1211,Fluorosulfonic acid,HSO3F,3,A,250.2,,3.272,-1.838
133,1213,propanedial,C3H4O2,11,A,3.5,,0.823,5.155
134,1213,Oxetane,C3H6O,10,A2,0,,0.678,-3.451
141,1213,Dimethyl ether,CH3OCH3,20,B2,161.5,0.4,1.477,-2.597
155,1215,Acetone,CH3COCH3,19,B,76.4,0.8,0.678,-3.451
166,1216,"(E)-1,2-Dimethyldiazene",CH3NNCH3,6,Ag,0,,2.568,-5.306
190,1218,Acetic acid,CH3COOH,10,A,248.5,,1.987,0.965
193,1219,"1,2-difluoroethane",C2H4F2,8,Au,6.9,0,2.229,-3.114
194,1219,trioxolane124,C2H4O3,16,B,5.8,,2.417,1.85
220,1222,"2H-Thiete-1,1-dioxide",C3H4O2S,7,A',43.6,,5.695,-9.924
248,1223,dichloroacetaldehyde,CHCl2CHO,5,A',14.7,,0.77,1.7
249,1223,"1,2-oxaziridine",CNOH3,8,A,0.4,,4.101,-2.138
258,1224,Methoxyacetonitrile,CH3OCH2CN,13,A,111.4,,3.439,3.593
291,1228,(E)-1-chloro-2-fluoroethene,CHFCHCl,5,A',6.8,,2.617,-2.7
293,1229,Malononitrile,C3H2N2,7,A2,0,,3.999,8.013
310,1230,Acetyl fluoride,CH3COF,6,A',249.1,,1.206,5.038
317,1231,Aziridine,C2H5N,6,A',18.7,,1.736,-1.212
327,1231,Fluoroacetaldehyde,CH2FCHO,12,"A""",1.5,,1.206,5.038
328,1231,Carbamic acid,NH2COOH,7,A,216.4,,4.017,-5.098
339,1233,(Z)-2-Butenenitrile,C4H5N,10,A',0.8,,4.865,2.338
343,1233,N-methylmethanimine,CH2NCH3,9,A',20.5,,1.736,-1.212
349,1234,"Furan, 2-chloro",C4H3ClO,7,A',19.1,,2.098,-5.912
355,1234,trifluoroacetaldehyde,CF3CHO,5,A',235.9,,1.958,1.862
363,1235,Sulfurous acid,H2SO3,2,A',225.1,,1.74,2.419
380,1237,Hydroxyacetic acid,HOCH2COOH,16,"A""",0,,2.417,1.85
381,1237,Amminetrifluoroboron,NH3BF3,9,E,430.5,,6.17,9.912
