Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment,Melting temperature  [�C],,,,,,,,,,
36,1204,"Methane, bromodichloro-",CHBrCl2,2,A',52.9,6.5,1.26,-1.931,-57,https://en.wikipedia.org/wiki/Bromodichloromethane,,,,,,,,,"HF: not trivial to find the molecule, most likely intermediates of reactions, or functional groups that do not exist alone"
53,1205,monomethyl copper,CuCH3,2,A1,62.1,,3.525,1.046,HF,HF,,,,,,,,,
70,1206,hydrogen thioperoxide,HOSH,3,A,61.9,,1.943,-1.821,unstable,https://en.wikipedia.org/wiki/Hydrogen_thioperoxide,,,,,,,,,
120,1211,Chloromethylene,HCCl,2,A',7.9,,1.66,1.782,intermediate - unstable,https://en.wikipedia.org/wiki/Carbene,,,,,,,,,
128,1212,chlorofluoromethylene,CFCl,1,A',306.5,,0.533,2.302,intermediate - unstable,https://en.wikipedia.org/wiki/Carbene,,,,,,,,,
156,1215,Sulfur imide,HNS,2,A',60.3,,1.707,1.258,not possible to isolate ,https://link.springer.com/chapter/10.1007/978-3-662-06354-5_1,,,,,,,,,
300,1229,Fluoromethylene,HCF,2,A',112.7,2.6,1.471,2.153,intermediate - unstable,https://en.wikipedia.org/wiki/Carbene,,,,,,,,,
301,1229,Disulfur monoxide,SSO,1,A',276.7,34.6,1.908,4.146,gas - needs to be synthesised,https://en.wikipedia.org/wiki/Disulfur_monoxide,,,,,,,,,
329,1232,Beryllium Carbonate,BeCO3,7,B2,609.1,,7.362,11.401,power - synthesising it resulted in a paper Xd,https://pubs.rsc.org/en/content/articlelanding/2024/cc/d4cc03462g,,,,,,,,,
370,1236,Hydrogen phosphorus oxide,HPO,2,A',89,,2.705,3.722,HF,,,,,,,,,,
379,1237,fluorochlorobromomethane,CHFClBr,3,A,114.8,4.2,1.439,2.451,-115,https://pubs-acs-org.uaccess.univie.ac.at/doi/10.1021/ja01259a031,,,,,,,,,
506,1246,ethynol,HCCOH,4,A',141.4,,1.632,-1.617,non-stable,https://en.wikipedia.org/wiki/Ethynol,,,,,,,,,
571,1252,Nitrosamide,NH2NO,5,A,129.1,,3.587,-1.335,HF,,,,,,,,,,
613,1255,monofluoroamine,NH2F,3,A',94.9,,2.542,1.841,unstable gas,https://en.wikipedia.org/wiki/Fluoroamine,,,,,,,,,
627,1256,Phosphine oxide,H3PO,2,A1,322.8,,4.176,-3.822,"only stable as a dilute gas, not easy to buy",https://en.wikipedia.org/wiki/Phosphine_oxide,,,,,,,,,
628,1256,Chloric Acid,HClO3,2,A',73,,1.908,-6.779,only stable in cold aqueous solutions,https://en.wikipedia.org/wiki/Chloric_acid,,,,,,,,,
663,1260,methyleneborane,CH2BH,4,A1,0,,0.738,2.026,HF,,,,,,,,,,
665,1260,Dioxirane,CH2O2,8,B2,1.5,,5.463,-0.979,unstable,https://en.wikipedia.org/wiki/Dioxirane,,,,,,,,,
690,1262,Phosphorus monoxide,PO,1,Σ,68.4,,2.592,-2.492,unstable radical,https://en.wikipedia.org/wiki/Phosphorus_monoxide,,,,,,,,,
720,1265,vinyl,C2H3,5,A',3.4,,0.586,-2.74,"does not exist alone, it is a group",https://en.wikipedia.org/wiki/Vinyl_group,,,,,,,,,
727,1265,Chlorous acid,HOClO,2,A,63.1,,3.227,1.573,hard to obtain pure,"https://en.wikipedia.org/wiki/Chlorous_acid#:~:text=Chlorous%20acid%20is%20an%20inorganic,Chlorous%20acid",,,,,,,,,
748,1267,"Methane, difluoro-",CH2F2,5,A2,0,12.1,2.048,2.035,gas  ,https://en.wikipedia.org/wiki/Difluoromethane,,,,,,,,,
903,1280,hypochlorous acid,HOCl,2,A',47.9,2.2,1.825,-2.435,cannot be studied pure,https://en.wikipedia.org/wiki/Hypochlorous_acid,,,,,,,,,
955,1284,Cyanoimidogen,NCN,1,Σg,0,,0.801,-5.263,HF,,,,,,,,,,
957,1284,Phosphorus oxide phosphide,PPO,1,Σ,274.4,,1.485,-6.382,HF,,,,,,,,,,
1194,1301,Formyl bromide,COHBr,3,A',117.9,,2.098,0.82,liquid - the chloride version is unstable not sure about this one,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB81457041.htm,,,,,,,,,
1247,1304,"Methane, bromodifluoro-",CHBrF2,2,A',155.2,,1.565,-2.945,gas,https://en.wikipedia.org/wiki/Bromodifluoromethane,,,,,,,,,
1321,1310,boron monocarbide,BC,1,Σ,0.4,,2.331,-2.834,HF,,,,,,,,,,
1335,1310,Phosphorus dioxide,PO2,3,B2,146.7,,2.031,3.793,"HF, wikipedia claims is a radical but not true",https://en.wikipedia.org/wiki/Phosphorus_dioxide,,,,,,,,,
1352,1311,Titanium monohydride,TiH,1,Σ,383.3,,1.88,-13.097,HF,,,,,,,,,,
1394,1315,Carbonic difluoride,CF2O,5,B2,475.8,0.1,1.339,-3.696,"gas, HF for buying",https://en.wikipedia.org/wiki/Carbonyl_fluoride,,,,,,,,,
1420,1316,Thionyl Fluoride,F2SO,1,A',244.5,,2.217,0.798,-110.5,https://en.wikipedia.org/wiki/Thionyl_fluoride,,,,,,,,,
1459,1320,difluoramine,NHF2,2,A',57.7,,2.098,-2.37,"HF for buying, -116.4, ",https://de.wikipedia.org/wiki/Difluoramin,,,,,,,,,
1476,1323,Boron monofluoride,BF,1,Σ,174.6,3,0.878,-4.253,unstable gas,https://en.wikipedia.org/wiki/Boron_monofluoride,,,,,,,,,
1499,1325,Phosphaethyne,HCP,2,Σ,4.8,,0.683,3.965,"highly reactive, polymerises",https://en.wikipedia.org/wiki/Methylidynephosphane,,,,,,,,,
1522,1327,Chromium hydride,CrH,1,Σ,497.9,,1.617,-12.07,HF,,,,,,,,,,
1666,1342,Formyl chloride,COHCl,3,A',61.2,,2.198,1.309,cannot be isolated,https://www.britannica.com/science/formyl-chloride,,,,,,,,,
1705,1346,Methanimine,CH2NH,6,A',50.5,,3.294,-0.97,"gas, HF for buying",,,,,,,,,,
1728,1348,Hydroxymethylidyne,COH,2,A',164.8,3.4,2.569,0.997,HF,,,,,,,,,,
1797,1356,thiomethoxy,CH3S,6,A,9.5,,1.751,1.781,HF,,,,,,,,,,
1840,1361,aminomethylene,CHNH2,6,A',49.7,8.5,3.294,-0.97,HF: I think it does not exist alone,,,,,,,,,,
1931,1368,Thioketene,CH2CS,3,A1,5.9,22,1.821,3.89,gas,https://en.wikipedia.org/wiki/Thioketene,,,,,,,,,
1932,1368,sulfidoazane,NH3S,2,A1,76.8,,1.061,-1.154,252,,,,,,,,,,
2022,1377,magnesium monohydride,MgH,1,Σ,277.6,,1.411,-8.821,"gas, has to be synthesised with electric discharge",https://en.wikipedia.org/wiki/Magnesium_monohydride,,,,,,,,,
