Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment
7,1201,Bicyclo[2.2.0]hex-1(4)-ene,C6H8,35,B3u,1.3,,0
8,1201,cycloheptane,C7H14,18,A,0.4,,0.001
11,1201,digallane,Ga2H6,17,B3u,1287,,0
14,1202,biphenyl,C12H10,50,B3,0,,0
17,1202,(Z)-3-methylpent-2-ene,C6H12,27,A,1.9,,0.167
23,1203,Ethane,C2H6,9,Eg,0,3.1,0
26,1203,Triethylenediamine,C6H12N2,33,"E""",0,,0
28,1203,Dewar Benzene,C6H6,12,A2,0,10.3,0.082
31,1204,"1,3-Propanediol",C3H8O2,18,A,12.9,,4
33,1204,Bicyclo[3.1.0]hexane,C6H10,32,"A""",0.1,,0.179
38,1205,Acenaphthylene,C12H8,46,B2,0.4,,0.11
45,1205,methylcyclopropane,C4H8,10,A',0.1,,0.104
55,1206,bullvalene,C10H10,26,E,0,1.8,0.293
56,1206,Decane,C10H22,36,Au,0,,0
57,1206,azobenzene,C12H10N2,56,Bu,10,,0
74,1207,"2-Butene, 2-methyl-",C5H10,16,A',3.5,,0.163
78,1207,parabenzoquinone,C6H4O2,25,B3g,0,,0
79,1207,"Ethane, 1-chloro-2-fluoro-",CH2FCH2Cl,15,"A""",2.8,,0.309
88,1208,"Ethane, 1,2-dibromo-",CH2BrCH2Br,16,Bu,97.2,,0
99,1209,Calcium Hydride,CaH2,1,Σg,0,,0
100,1209,"1,1,1,2-tetrafluoroethane",CF3CH2F,14,"A""",52.8,,2.133
107,1210,"1,1-dimethylcyclobutane",C4H6(CH3)2,38,"A""",0.1,,0.014
111,1210,cyclooctatetraene,C8H8,20,B2,0.9,,0
112,1210,Nonane,C9H20,33,A2,0,,0.067
122,1211,nitrogen fluoride,NF,1,Σ,161.5,,0.116
130,1212,"cyanamide, methylene",H2CNCN,6,A',11.5,3.7,4.845
132,1213,Triphenylmethane,C19H16,45,E,1,2.9,0.037
137,1213,Bicyclo[2.1.0]pent-2-ene,C5H6,19,"A""",0,,0.28
140,1213,"phosphine, (trifluoromethyl)-",CF3PH2,11,"A""",223.1,,1.938
142,1214,adamantane,C10H16,10,E,0,,0
148,1214,Styrene,C6H5CHCH2,17,A,2.9,,0.139
153,1215,Octane,C8H18,29,Au,0,,0
159,1216,Ethylene,C2H4,11,B3g,0,1.3,0
165,1216,"trans-1,2-dichloro-1,2-difluoroethylene",CFClCClF,2,Ag,0,,0
168,1217,"1,2-Ethanediol",C2H6O2,10,Au,6.6,,0
173,1217,Buckminsterfullerene,C60,42,Hu,0,,0
175,1217,"(Z)-Hexa-1,5-diyne-3-ene",C6H4,5,A1,0.1,,0.184
179,1217,Diborane(2),HBBH,2,Σg,0,,0
181,1218,"1,3,5-Trithiane",C3H6S3,8,A2,0,,2.45
199,1219,"Butane, 2,2-dimethyl-",C6H14,19,A',6.7,,0.041
200,1219,Indene,C9H8,17,A',1.5,,0.607
