Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment
5,1201,2(5H)-Pyridinone,C5H5NO,22,"A""",0.0,,1.075,-5.168
145,1214,1-Butanethiol,C4H9SH,31,"A""",0.2,,1.922,-0.786
177,1217,"1,3-Butadiene, 2-chloro-",CH2CClCHCH2,11,A',52.5,13.6,1.794,-6.625
188,1218,benzaldehyde,C6H5CHO,14,A',15.6,1.8,3.477,-3.505
271,1226,pentafluoroethane,CF3CHF2,4,A',218.7,,1.645,-2.323
274,1227,Ethylene carbonate,C2H4CO3,7,A,244.6,,5.233,-1.643
345,1233,Hydroxyimidogen,NOH,2,A',44.8,,2.081,-0.819
364,1235,monoethanolamine,HOCH2CH2NH2,15,A,37.3,,2.693,0.724
788,1269,"Ethene, 1,2-dibromo-, (E)-",CHBrCHBr,3,Ag,0.0,,2.071,7.839
817,1272,"Ethane, 1,1,1-trifluoro-",CH3CF3,9,E,281.4,,1.719,5.995
829,1273,Lithium Hydride,LiH,1,Σ,192.5,,5.981,-1.471
831,1274,Furan,C4H4O,18,B2,0.2,0.6,3.251,-1.162
902,1280,thioformamide,CHSNH2,6,A',250.4,6.2,5.185,-5.166
1021,1289,Acetaldoxime,CH3CHNOH,9,A',68.3,,4.085,0.852
1087,1294,Formic acid,HCOOH,5,A',21.4,0.7,,-0.979
1496,1325,Methane selenol,CH3SeH,5,A',20.9,,1.608,-3.894
1654,1341,"Ethene, 1,1-difluoro-",CH2CF2,10,B2,253.3,,1.249,1.645
2879,1430,Ethenimine,H2CCNH,4,A',0.6,,1.843,0.821
2921,1434,Zinc monohydride,ZnH,1,Σ,254.9,,0.858,-6.67
3013,1443,methylisocyante,CH3NCO,6,A',59.5,18.4,3.242,1.204
3126,1450,Nitrogen dioxide,NO2,1,A1,4.2,46.2,0.681,1.358
3131,1451,"Sulfurous acid, dimethyl ester",C2H6O3S,12,A,1.5,,2.08,-4.784
3323,1460,Selenoformaldehyde,H2CSe,2,A1,7.1,3.5,1.978,5.128
4497,1488,Sodium methoxide,NaOCH3,6,E,5.8,,7.56,12.953
4902,1561,Nitrosyl hydride,HNO,3,A',39.1,,2.081,-0.819
5421,1741,Calcium Carbonate,CaCO3,1,A1,814.2,,17.269,11.876
5679,2006,Chlorosilylene,HSiCl,1,A',401.3,205.0,1.818,4.535
9808,3081,bromoform,CHBr3,1,A1,2.5,,1.057,1.419
