Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment
5,1201,2(5H)-Pyridinone,C5H5NO,22,"A""",0.0,,1.075,-5.168
20,1202,Norbornene,C7H10,12,A',1.1,,,
22,1202,cyanomethanol,HOCH2CN,8,A,28.9,3.0,3.242,
27,1203,Ethylbenzene,C6H5CH2CH3,37,"A""",0.0,,,
48,1205,"Cyclobutane, methylene-",C5H8,11,A',0.2,,,
68,1206,toluene,C6H5CH3,30,"A""",0.0,,,
69,1206,1-amino vinyl alchohol,CH2C(OH)NH2,10,A,126.0,12.1,4.085,
89,1208,"Propane, 1,2-dichloro-",CH2ClCHClCH3,14,A,25.5,,,
91,1208,oxo acetic acid,CHOCOOH,7,A',26.8,,3.91,
92,1208,N-methylformamide,HCONHCH3,12,A,109.1,,4.085,
93,1209,Furazan,C2H2N2O,13,B2,2.6,1.0,,
125,1212,Pyridine,C5H5N,6,A1,5.2,,,
145,1214,1-Butanethiol,C4H9SH,31,"A""",0.2,,1.922,-0.786
157,1216,borohydride,BH4,3,A1,53.6,,1.152,
177,1217,"1,3-Butadiene, 2-chloro-",CH2CClCHCH2,11,A',52.5,13.6,1.794,-6.625
188,1218,benzaldehyde,C6H5CHO,14,A',15.6,1.8,3.477,-3.505
195,1219,"2-Oxetanone, 4-methylene-",C4H4O2,10,A,4.3,,,
247,1223,"1,3-difluoropropane",CH2FCH2CH2F,8,A,1.5,8.3,,
255,1224,Oxepane,C6H12O,29,A,3.9,1.9,,
271,1226,pentafluoroethane,CF3CHF2,4,A',218.7,,1.645,-2.323
274,1227,Ethylene carbonate,C2H4CO3,7,A,244.6,,5.233,-1.643
336,1232,"1,1,1,2-tetrachloroethane",CH2ClCCl3,13,"A""",12.7,7.0,2.059,
345,1233,Hydroxyimidogen,NOH,2,A',44.8,,2.081,-0.819
364,1235,monoethanolamine,HOCH2CH2NH2,15,A,37.3,,2.693,0.724
402,1238,phenol,C6H5OH,13,A',61.8,,4.709,
418,1239,meta-xylene,CH3C6H4CH3,18,A',0.4,,,
453,1242,Norbornadiene,C7H8,24,B1,0.0,,,
458,1242,(Z)-1-Chloro-2-fluoroethene,CHFCHClz,5,A',39.0,,,
469,1243,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",CF2ClCFCl2,2,A,198.9,,,
483,1244,"Ethane, 1,1,2,2-tetrachloro-",CHCl2CHCl2,13,B,31.0,,2.059,
485,1244,nitramide,NH2NO2,10,"A""",105.4,,,
610,1255,Ethaninidic acid,CH3C(OH)=NH,9,A',108.1,,4.085,
788,1269,"Ethene, 1,2-dibromo-, (E)-",CHBrCHBr,3,Ag,0.0,,2.071,7.839
789,1270,Nitrosoethylene,C2H3NO,7,A',0.9,11.5,3.242,
817,1272,"Ethane, 1,1,1-trifluoro-",CH3CF3,9,E,281.4,,1.719,5.995
829,1273,Lithium Hydride,LiH,1,Σ,192.5,,5.981,-1.471
831,1274,Furan,C4H4O,18,B2,0.2,0.6,3.251,-1.162
859,1277,Ethylenediamine,C2H8N2,20,Bg,0.0,,1.661,
902,1280,thioformamide,CHSNH2,6,A',250.4,6.2,5.185,-5.166
1021,1289,Acetaldoxime,CH3CHNOH,9,A',68.3,,4.085,0.852
1087,1294,Formic acid,HCOOH,5,A',21.4,0.7,,-0.979
1418,1316,Acetamide,CH3CONH2,11,A,149.2,,4.085,
1496,1325,Methane selenol,CH3SeH,5,A',20.9,,1.608,-3.894
1654,1341,"Ethene, 1,1-difluoro-",CH2CF2,10,B2,253.3,,1.249,1.645
2275,1398,diformyl ether,CHOOCHO,11,B,18.8,8.6,3.91,
2401,1404,"Propane, 2,2-dichloro-",CH3CCl2CH3,24,B2,7.1,3.1,,
2879,1430,Ethenimine,H2CCNH,4,A',0.6,,1.843,0.821
2921,1434,Zinc monohydride,ZnH,1,Σ,254.9,,0.858,-6.67
3013,1443,methylisocyante,CH3NCO,6,A',59.5,18.4,3.242,1.204
3126,1450,Nitrogen dioxide,NO2,1,A1,4.2,46.2,0.681,1.358
3131,1451,"Sulfurous acid, dimethyl ester",C2H6O3S,12,A,1.5,,2.08,-4.784
3177,1454,Propadienal,C3H2O,4,A1,7.1,14.8,,
3323,1460,Selenoformaldehyde,H2CSe,2,A1,7.1,3.5,1.978,5.128
4497,1488,Sodium methoxide,NaOCH3,6,E,5.8,,7.56,12.953
4902,1561,Nitrosyl hydride,HNO,3,A',39.1,,2.081,-0.819
5186,1652,Ammonia Dimer,NH3NH3,16,Bu,30.7,,,
5421,1741,Calcium Carbonate,CaCO3,1,A1,814.2,,17.269,11.876
5679,2006,Chlorosilylene,HSiCl,1,A',401.3,205.0,1.818,4.535
5690,2027,Iron pentacarbonyl,Fe(CO)5,14,E,5260.1,,2.817,
5719,2109,Zinc isocyanide,ZnNC,1,Σ,363.6,,4.711,
5720,2110,Potassium cyanide,KCN,1,A',48.1,,13.037,
5815,2227,Zinc monocyanide,ZnCN,1,Σ,18.3,,4.711,
9808,3081,bromoform,CHBr3,1,A1,2.5,,1.057,1.419
