Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment
20,1202,Norbornene,C7H10,12,A',1.1,,,
22,1202,cyanomethanol,HOCH2CN,8,A,28.9,3,3.242,1.204
27,1203,Ethylbenzene,C6H5CH2CH3,37,"A""",0,,,4.209
48,1205,"Cyclobutane, methylene-",C5H8,11,A',0.2,,,1.316
68,1206,toluene,C6H5CH3,30,"A""",0,,,3.818
69,1206,1-amino vinyl alchohol,CH2C(OH)NH2,10,A,126,12.1,4.085,-6.101
89,1208,"Propane, 1,2-dichloro-",CH2ClCHClCH3,14,A,25.5,,,4.745
91,1208,oxo acetic acid,CHOCOOH,7,A',26.8,,3.91,5.02
92,1208,N-methylformamide,HCONHCH3,12,A,109.1,,4.085,-6.101
93,1209,Furazan,C2H2N2O,13,B2,2.6,1,,3.765
125,1212,Pyridine,C5H5N,6,A1,5.2,,,-2.72
157,1216,borohydride,BH4,3,A1,53.6,,1.152,1.192
195,1219,"2-Oxetanone, 4-methylene-",C4H4O2,10,A,4.3,,,2.25
247,1223,"1,3-difluoropropane",CH2FCH2CH2F,8,A,1.5,8.3,,1.052
255,1224,Oxepane,C6H12O,29,A,3.9,1.9,,-0.559
336,1232,"1,1,1,2-tetrachloroethane",CH2ClCCl3,13,"A""",12.7,7,2.059,NaN
402,1238,phenol,C6H5OH,13,A',61.8,,4.709,-8.654
418,1239,meta-xylene,CH3C6H4CH3,18,A',0.4,,,
453,1242,Norbornadiene,C7H8,24,B1,0,,,-2.55
458,1242,(Z)-1-Chloro-2-fluoroethene,CHFCHClz,5,A',39,,,-2.7
469,1243,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",CF2ClCFCl2,2,A,198.9,,,
483,1244,"Ethane, 1,1,2,2-tetrachloro-",CHCl2CHCl2,13,B,31,,2.059,NaN
485,1244,nitramide,NH2NO2,10,"A""",105.4,,,
610,1255,Ethaninidic acid,CH3C(OH)=NH,9,A',108.1,,4.085,-0.962
789,1270,Nitrosoethylene,C2H3NO,7,A',0.9,11.5,3.242,-0.709
859,1277,Ethylenediamine,C2H8N2,20,Bg,0,,1.661,NaN
1418,1316,Acetamide,CH3CONH2,11,A,149.2,,4.085,-1.426
2275,1398,diformyl ether,CHOOCHO,11,B,18.8,8.6,3.91,NaN
2401,1404,"Propane, 2,2-dichloro-",CH3CCl2CH3,24,B2,7.1,3.1,,1.537
3177,1454,Propadienal,C3H2O,4,A1,7.1,14.8,,-0.357
5186,1652,Ammonia Dimer,NH3NH3,16,Bu,30.7,,,
5690,2027,Iron pentacarbonyl,Fe(CO)5,14,E,5260.1,,2.817,0.628
5719,2109,Zinc isocyanide,ZnNC,1,Σ,363.6,,4.711,-12.744
5720,2110,Potassium cyanide,KCN,1,A',48.1,,13.037,NaN
5815,2227,Zinc monocyanide,ZnCN,1,Σ,18.3,,4.711,NaN
