Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment,Point Group
3,1201,"Propane, 2-methoxy-",C4H10O,23,A,81.6,,1.242,-1.582,C1
4,1201,"Thiophene, 2,3-dihydro-",C4H6S,13,A,2.3,,1.487,-2.954,C1
6,1201,benzoic acid,C6H5COOH,15,A',205.0,,2.157,-7.233,Cs
13,1201,Trimethylamine,N(CH3)3,5,A1,25.2,,0.744,-3.485,C3v
15,1202,"2-Propenoic acid, methyl ester",C4H6O2,15,A,38.6,,1.637,-3.902,C1
16,1202,2-Pyrrolidinone,C4H7NO,18,A,0.4,,5.057,5.466,C1
18,1202,Fluorobenzene,C6H5F,26,B2,0.0,,1.676,-1.587,C2v
24,1203,Diethylhydroxylamine,C4H11NO,14,A',2.4,,2.533,1.112,Cs
29,1203,Alanine,CH3CH(NH2)COOH,17,A,7.9,,5.56,7.727,C1
32,1204,"2,5-dihydrothiophene-3-ol",C4H6OS,13,A,22.5,,3.831,8.361,C1
34,1204,phenyl cyanide,C6H5CN,28,B2,2.7,,4.853,-12.582,C2v
42,1205,"1,2,3-Propanetriol",C3H8O3,18,A,13.1,,2.261,-1.587,C1
43,1205,Cyclobutanone,C4H6O,24,B2,2.5,,0.958,3.127,C2v
46,1205,Cyclopentanamine,C5H11N,36,"A""",0.0,,1.361,0.795,Cs
47,1205,1-Pentanethiol,C5H12S,38,"A""",0.2,,1.735,-2.235,Cs
51,1205,Calicene,C8H6,30,B2,3.6,,4.876,11.083,C2v
52,1205,methyl acetate,CH3COOCH3,11,A',4.3,,1.869,1.939,Cs
60,1206,Butanoic acid,C4H8O2,20,A,150.7,,2.134,1.477,C1
62,1206,"Pentane, 1-chloro-",C5H11Cl,36,"A""",0.1,,2.605,4.813,Cs
66,1206,Cyclopentanone,C5H8O,10,A,0.3,,3.011,1.274,C2
73,1207,1-Chloro-2-ethoxyethane,C4H9ClO,31,"A""",7.5,,2.378,2.408,Cs
75,1207,Cyclopentanol,C5H10O,23,A,32.6,,2.911,2.993,C1
80,1208,"1-Propanamine, 2-methyl-",C(NH2)H2C(CH3)HCH3,24,A,0.1,,0.999,0.719,C1
84,1208,(E)-3-Pentenenitrile,C5H7N,17,A,0.0,,4.445,6.938,C1
86,1208,orthodifluorobenzene,C6H4F2,26,B2,42.6,,2.841,-0.836,C2v
87,1208,Anisole,C6H5OCH3,16,A',33.5,,1.351,-9.176,Cs
98,1209,Hexanoic acid,C6H12O2,42,"A""",0.2,,1.959,0.673,Cs
102,1210,1-Butanamine,C(NH2)H2CH2CH2CH3,34,"A""",0.0,,0.999,0.719,C1
103,1210,Azulene,C10H8,11,A1,0.0,,1.537,5.63,Cs
109,1210,1-Pentanol,C5H12O,18,A',63.3,,1.636,-0.763,Cs
114,1210,diethylamine,NH(C2H5)2,13,A',2.7,,0.999,0.719,Cs
116,1211,"2-Methyl-1,2-propanediamine",C4H12N2,15,A',33.0,,2.017,-3.718,Cs
118,1211,furfural,C5H4O2,11,A',20.0,5.3,1.76,12.644,Cs
123,1212,"Carbonochloridic acid, ethyl ester",C3H5ClO2,13,A,671.9,,4.353,3.393,C1
126,1212,Proline,C5H9NO2,22,A,14.1,,1.442,0.51,C1
129,1212,acetophenone,CH3COC6H5,17,A',4.0,,3.25,-4.632,Cs
149,1215,"1,3-Dioxolane",C3H6O2,8,A,85.1,,1.869,1.939,Cs
150,1215,Uracil,C4H4N2O2,12,A',13.9,,4.72,2.026,Cs
154,1215,"Butane, 1-chloro-",CH2ClCH2CH2CH3,29,"A""",0.2,,2.486,1.238,Cs
161,1216,"Propane, 1,2,3-trichloro-",C3H5Cl3,7,A',39.1,,1.786,1.765,Cs
169,1217,"1,3,5-Trioxane",C3H6O3,16,E,332.9,,2.187,-0.72,C3v
178,1217,Sarcosine,CH3NHCH2COOH,17,A,1.6,,5.56,7.727,C1
182,1218,"Thiophene, tetrahydro-3-methyl-",C5H10S,22,A,2.0,,1.86,-5.977,C1
210,1220,cyclohexanone,C6H10O,36,"A""",32.9,,3.389,5.839,Cs
211,1220,Nitrobenzene,C6H5NO2,31,B2,15.8,,5.075,-5.202,C2v
219,1222,"2-Propanethiol, 2-methyl-",C(CH3)3SH,31,"A""",2.8,1.8,1.922,-0.786,Cs
223,1222,Pentanenitrile,C5H9N,31,"A""",0.0,,4.362,8.803,Cs
227,1222,nitrosobenzene,C6H5NO,12,A',13.0,0.2,3.552,-2.996,Cs
230,1222,"1-Propanethiol, 2-methyl-",CH2(SH)CH(CH3)CH3,21,A,4.3,,1.922,-0.786,C1
