Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment
29,1203,Alanine,CH3CH(NH2)COOH,17,A,7.9,,5.56
105,1210,"1-Propene, 3-chloro-",C3H5Cl,11,A,0.6,,2.422
367,1236,Butanamide,C4H9NO,21,A,1.2,,3.763
543,1249,"Urea, N,N'-dimethyl-",NH(CH3)CONH(CH3),27,B,266.6,,3.825
558,1251,"1,2-Ethanedithiol",CH2SHCH2SH,21,Bu,77.4,,2.379
584,1253,Nitrous oxide,N2O,2,Σ,164.9,5.7,0.701
596,1254,"1-Butene, 3-chloro-",CH2CHCHClCH3,15,A,44.0,,2.528
597,1254,1-Fluoropropane,CH2FCH2CH3,16,A,1.6,,1.925
611,1255,Ethanol,CH3CH2OH,9,A',121.7,4.4,1.477
628,1256,Chloric Acid,HClO3,2,A',73.0,,1.908
633,1257,trifluoroacetyl chloride,CF3COCl,11,"A""",313.5,,0.923
643,1258,Chloroform,CHCl3,4,E,39.7,6.9,1.353
1087,1294,Formic acid,HCOOH,5,A',21.4,0.7,5.463
1159,1299,methyl germane,GeH3CH3,3,A1,2.0,,0.794
1293,1307,Isodiazene,H2NN,6,B2,1.5,5.7,3.511
1294,1307,perchloric acid,HClO4,2,A',191.4,,3.034
1332,1310,"Ethene, fluoro-",CH2CHF,6,A',1.3,,1.528
5646,1925,Carbonyl fluoride,FCO,1,A',355.4,,1.274
5789,2183,(trichloromethyl)silane,SiH3CCl3,1,A1,71.0,,2.469
5827,2253,Aluminum monocyanide,AlCN,1,Σ,53.3,65.6,3.278
5844,2304,hydrogen diselenide,H2Se2,1,A,18.0,194.5,1.066
6013,2750,Methylidyne,CH,1,Σ,172.7,130.5,1.582
10270,3624,Selenic acid,H2SeO4,9,B,374.0,,2.845
10302,3664,Sulfur Hydroxide,SOH,1,A',122.7,78.9,1.76
