Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole Moment,Melting Temperature [K]
12,1201,Formaldehyde,H2CO,4,B1,0.4,0.8,2.667,-0.455,-92.0
13,1201,Trimethylamine,N(CH3)3,5,A1,25.2,,0.744,-3.485,-117.2
16,1202,2-Pyrrolidinone,C4H7NO,18,A,0.4,,5.057,5.466,25.0
18,1202,Fluorobenzene,C6H5F,26,B2,0.0,,1.676,-1.587,-44.0
21,1202,Methyl nitrite,CH3ONO,6,A',4.0,,4.017,-5.098,-16.0
22,1202,cyanomethanol,HOCH2CN,8,A,28.9,3.0,3.242,,-72.0
24,1203,Diethylhydroxylamine,C4H11NO,14,A',2.4,,2.533,1.112,-26.0
27,1203,Ethylbenzene,C6H5CH2CH3,37,"A""",0.0,,,,-95.0
34,1204,phenyl cyanide,C6H5CN,28,B2,2.7,,4.853,-12.582,-13.0
43,1205,Cyclobutanone,C4H6O,24,B2,2.5,,0.958,3.127,-50.9
52,1205,methyl acetate,CH3COOCH3,11,A',4.3,,1.869,1.939,-98.0
60,1206,Butanoic acid,C4H8O2,20,A,150.7,,2.134,1.477,-5.1
66,1206,Cyclopentanone,C5H8O,10,A,0.3,,3.011,1.274,-58.2
68,1206,toluene,C6H5CH3,30,"A""",0.0,,,,-95.0
71,1207,hexafluoropropene,C3F6,5,A',240.7,0.6,1.064,3.003,-153.0
75,1207,Cyclopentanol,C5H10O,23,A,32.6,,2.911,2.993,-19.0
87,1208,Anisole,C6H5OCH3,16,A',33.5,,1.351,-9.176,-37.0
92,1208,N-methylformamide,HCONHCH3,12,A,109.1,,4.085,,-4.0
93,1209,Furazan,C2H2N2O,13,B2,2.6,1.0,,,-28.0
98,1209,Hexanoic acid,C6H12O2,42,"A""",0.2,,1.959,0.673,-3.4
109,1210,1-Pentanol,C5H12O,18,A',63.3,,1.636,-0.763,-78.0
114,1210,diethylamine,NH(C2H5)2,13,A',2.7,,0.999,0.719,-49.8
118,1211,furfural,C5H4O2,11,A',20.0,5.3,1.76,12.644,-37.0
121,1211,Fluorosulfonic acid,HSO3F,3,A,250.2,,3.272,-1.838,-87.5
125,1212,Pyridine,C5H5N,6,A1,5.2,,,,-41.63
129,1212,acetophenone,CH3COC6H5,17,A',4.0,,3.25,-4.632,19.0
