Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment
115,1211,Pyrene,C16H10,8,Ag,0,,0
125,1212,Pyridine,C5H5N,6,A1,5.2,,
169,1217,"1,3,5-Trioxane",C3H6O3,16,E,332.9,,2.187
177,1217,"1,3-Butadiene, 2-chloro-",CH2CClCHCH2,11,A',52.5,13.6,1.794
195,1219,"2-Oxetanone, 4-methylene-",C4H4O2,10,A,4.3,,
201,1219,"Methane, bromochlorodifluoro-",CBrClF2,7,"A""",222.7,,0.472
247,1223,"1,3-difluoropropane",CH2FCH2CH2F,8,A,1.5,8.3,
255,1224,Oxepane,C6H12O,29,A,3.9,1.9,
317,1231,Aziridine,C2H5N,6,A',18.7,,1.736
418,1239,meta-xylene,CH3C6H4CH3,18,A',0.4,,
453,1242,Norbornadiene,C7H8,24,B1,0,,
469,1243,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",CF2ClCFCl2,2,A,198.9,,
485,1244,nitramide,NH2NO2,10,"A""",105.4,,
610,1255,Ethaninidic acid,CH3C(OH)=NH,9,A',108.1,,4.085
785,1269,"1,1,1,2-tetrabromo ethane",CH2BrCBr3,3,A',33.9,12.1,1.397
954,1284,Carbonic acid,H2CO3,3,A1,46,,
970,1286,Oxalamide,C2H4N2O2,21,Bu,266.7,,
1008,1288,"1-Propene, 2-methoxy-",CH2C(CH3)OCH3,17,A,189.4,,
1036,1291,"1,3-Dithiolane-2-thione",C3H4S3,8,A,3,,5.589
1192,1301,ethenol,CH2CHOH,8,A',3.3,,
1416,1316,"Propanenitrile, 2-methyl-",CH3CH(CH3)CN,24,"A""",0.3,,4.264
1465,1321,phenylacetylene,C6H5CCH,29,B2,0.2,,4.876
1522,1327,Chromium hydride,CrH,1,Î£,497.9,,1.617
1545,1329,Sulfur tetrafluoride oxide,SOF4,1,A1,318,,1.482
1654,1341,"Ethene, 1,1-difluoro-",CH2CF2,10,B2,253.3,,1.249
1667,1342,Hydrogen peroxide,H2O2,6,B,118.8,,4.052
1705,1346,Methanimine,CH2NH,6,A',50.5,,3.294
1766,1353,Isopropyl nitrite,CH3CH(CH3)ONO,16,A,9,,5.56
2064,1381,Methanimidothioic acid,NHCHSH,5,A',36.9,6.9,5.185
2159,1390,Sulfuryl chloride,SO2Cl2,8,B2,288.7,,
2401,1404,"Propane, 2,2-dichloro-",CH3CCl2CH3,24,B2,7.1,3.1,
2827,1425,Nitryl fluoride,FNO2,1,A1,261.9,,0.644
2970,1439,Water-d1,HDO,3,A',90.5,,
3028,1444,methyl isocyanide,CH3NC,3,A1,13.9,,1.843
3105,1449,Dinitrogen trioxide,N2O3,3,A',131.1,,1.969
3159,1453,Thiirane,C2H4S,13,B2,0,,1.263
3177,1454,Propadienal,C3H2O,4,A1,7.1,14.8,
4395,1485,Methyl fluoride,CH3F,2,A1,13.4,5,1.989
4903,1562,lithium amide,LiNH2,2,A1,31,12.7,4.616
4993,1608,chloramine,NH2Cl,2,A',28.6,8,2.299
5186,1652,Ammonia Dimer,NH3NH3,16,Bu,30.7,,
5249,1669,Nitrogen oxide sulfide,SNO,1,A',489,312.2,
5702,2076,hydrogen isocyanide,HNC,2,Î£,81.5,,3.209
6013,2750,Methylidyne,CH,1,Î£,172.7,130.5,1.582
