Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity
1,1201,Oxamic acid,C2H3NO3,9,A',12.2,
2,1201,perfluorobutadiene,C4F6,16,B,143.4,
3,1201,"Propane, 2-methoxy-",C4H10O,23,A,81.6,
4,1201,"Thiophene, 2,3-dihydro-",C4H6S,13,A,2.3,
5,1201,2(5H)-Pyridinone,C5H5NO,22,"A""",0.0,
6,1201,benzoic acid,C6H5COOH,15,A',205.0,
7,1201,Bicyclo[2.2.0]hex-1(4)-ene,C6H8,35,B3u,1.3,
8,1201,cycloheptane,C7H14,18,A,0.4,
9,1201,1-Octanol,C8H18O,59,"A""",1.0,1.2
10,1201,n-propyl benzene,C9H12,44,"A""",0.0,
11,1201,digallane,Ga2H6,17,B3u,1287.0,
12,1201,Formaldehyde,H2CO,4,B1,0.4,0.8
13,1201,Trimethylamine,N(CH3)3,5,A1,25.2,
14,1202,biphenyl,C12H10,50,B3,0.0,
15,1202,"2-Propenoic acid, methyl ester",C4H6O2,15,A,38.6,
16,1202,2-Pyrrolidinone,C4H7NO,18,A,0.4,
17,1202,(Z)-3-methylpent-2-ene,C6H12,27,A,1.9,
18,1202,Fluorobenzene,C6H5F,26,B2,0.0,
20,1202,Norbornene,C7H10,12,A',1.1,
21,1202,Methyl nitrite,CH3ONO,6,A',4.0,
22,1202,cyanomethanol,HOCH2CN,8,A,28.9,3.0
23,1203,Ethane,C2H6,9,Eg,0.0,3.1
24,1203,Diethylhydroxylamine,C4H11NO,14,A',2.4,
26,1203,Triethylenediamine,C6H12N2,33,"E""",0.0,
27,1203,Ethylbenzene,C6H5CH2CH3,37,"A""",0.0,
28,1203,Dewar Benzene,C6H6,12,A2,0.0,10.3
29,1203,Alanine,CH3CH(NH2)COOH,17,A,7.9,
30,1203,Lithium borohydride,LiBH4,3,A1,148.7,
31,1204,"1,3-Propanediol",C3H8O2,18,A,12.9,
32,1204,"2,5-dihydrothiophene-3-ol",C4H6OS,13,A,22.5,
33,1204,Bicyclo[3.1.0]hexane,C6H10,32,"A""",0.1,
34,1204,phenyl cyanide,C6H5CN,28,B2,2.7,
36,1204,"Methane, bromodichloro-",CHBrCl2,2,A',52.9,6.5
37,1204,allenediol,HOCHCCHOH,5,A,30.7,
38,1205,Acenaphthylene,C12H8,46,B2,0.4,
40,1205,1-chloro-1-fluoroethylene,C2H2ClF,5,A',210.8,
42,1205,"1,2,3-Propanetriol",C3H8O3,18,A,13.1,
43,1205,Cyclobutanone,C4H6O,24,B2,2.5,
45,1205,methylcyclopropane,C4H8,10,A',0.1,
46,1205,Cyclopentanamine,C5H11N,36,"A""",0.0,
47,1205,1-Pentanethiol,C5H12S,38,"A""",0.2,
48,1205,"Cyclobutane, methylene-",C5H8,11,A',0.2,
51,1205,Calicene,C8H6,30,B2,3.6,
52,1205,methyl acetate,CH3COOCH3,11,A',4.3,
53,1205,monomethyl copper,CuCH3,2,A1,62.1,
54,1205,Methanedithiol,HSCH2SH,5,A,1.2,21.3
55,1206,bullvalene,C10H10,26,E,0.0,1.8
56,1206,Decane,C10H22,36,Au,0.0,
57,1206,azobenzene,C12H10N2,56,Bu,10.0,
58,1206,Cyclopropylamine,C3H7N,8,A',0.7,
60,1206,Butanoic acid,C4H8O2,20,A,150.7,
61,1206,Cyclobutylamine,C4H9N,29,"A""",0.2,
62,1206,"Pentane, 1-chloro-",C5H11Cl,36,"A""",0.1,
66,1206,Cyclopentanone,C5H8O,10,A,0.3,
68,1206,toluene,C6H5CH3,30,"A""",0.0,
69,1206,1-amino vinyl alchohol,CH2C(OH)NH2,10,A,126.0,12.1
70,1206,hydrogen thioperoxide,HOSH,3,A,61.9,
71,1207,hexafluoropropene,C3F6,5,A',240.7,0.6
73,1207,1-Chloro-2-ethoxyethane,C4H9ClO,31,"A""",7.5,
74,1207,"2-Butene, 2-methyl-",C5H10,16,A',3.5,
75,1207,Cyclopentanol,C5H10O,23,A,32.6,
78,1207,parabenzoquinone,C6H4O2,25,B3g,0.0,
79,1207,"Ethane, 1-chloro-2-fluoro-",CH2FCH2Cl,15,"A""",2.8,
80,1208,"1-Propanamine, 2-methyl-",C(NH2)H2C(CH3)HCH3,24,A,0.1,
84,1208,(E)-3-Pentenenitrile,C5H7N,17,A,0.0,
86,1208,orthodifluorobenzene,C6H4F2,26,B2,42.6,
87,1208,Anisole,C6H5OCH3,16,A',33.5,
88,1208,"Ethane, 1,2-dibromo-",CH2BrCH2Br,16,Bu,97.2,
89,1208,"Propane, 1,2-dichloro-",CH2ClCHClCH3,14,A,25.5,
90,1208,"Ethene, 1,2-dichloro-, (Z)-",CHClCHCl,3,A1,0.1,
91,1208,oxo acetic acid,CHOCOOH,7,A',26.8,
92,1208,N-methylformamide,HCONHCH3,12,A,109.1,
93,1209,Furazan,C2H2N2O,13,B2,2.6,1.0
94,1209,"1H-Tetrazole, 1-methyl-",C2H4N4,10,A',31.2,
98,1209,Hexanoic acid,C6H12O2,42,"A""",0.2,
99,1209,Calcium Hydride,CaH2,1,Σg,0.0,
100,1209,"1,1,1,2-tetrafluoroethane",CF3CH2F,14,"A""",52.8,
101,1209,Methyl peroxide,CH3OOH,9,A,5.7,
102,1210,1-Butanamine,C(NH2)H2CH2CH2CH3,34,"A""",0.0,
103,1210,Azulene,C10H8,11,A1,0.0,
104,1210,Coronene,C24H12,4,A1g,0.0,
105,1210,"1-Propene, 3-chloro-",C3H5Cl,11,A,0.6,
106,1210,Cyclopropanol,C3H5OH,11,A,41.9,
107,1210,"1,1-dimethylcyclobutane",C4H6(CH3)2,38,"A""",0.1,
109,1210,1-Pentanol,C5H12O,18,A',63.3,
111,1210,cyclooctatetraene,C8H8,20,B2,0.9,
112,1210,Nonane,C9H20,33,A2,0.0,
113,1210,2-Chloroethanol,CH2ClCH2OH,8,A',104.6,
114,1210,diethylamine,NH(C2H5)2,13,A',2.7,
115,1211,Pyrene,C16H10,8,Ag,0.0,
116,1211,"2-Methyl-1,2-propanediamine",C4H12N2,15,A',33.0,
118,1211,furfural,C5H4O2,11,A',20.0,5.3
120,1211,Chloromethylene,HCCl,2,A',7.9,
121,1211,Fluorosulfonic acid,HSO3F,3,A,250.2,
122,1211,nitrogen fluoride,NF,1,Σ,161.5,
123,1212,"Carbonochloridic acid, ethyl ester",C3H5ClO2,13,A,671.9,
125,1212,Pyridine,C5H5N,6,A1,5.2,
126,1212,Proline,C5H9NO2,22,A,14.1,
128,1212,chlorofluoromethylene,CFCl,1,A',306.5,
129,1212,acetophenone,CH3COC6H5,17,A',4.0,
130,1212,"cyanamide, methylene",H2CNCN,6,A',11.5,3.7
131,1212,"Sulfur, pentafluoro(trifluoromethyl)-",SF5CF3,2,A',122.5,
132,1213,Triphenylmethane,C19H16,45,E,1.0,2.9
133,1213,propanedial,C3H4O2,11,A,3.5,
134,1213,Oxetane,C3H6O,10,A2,0.0,
137,1213,Bicyclo[2.1.0]pent-2-ene,C5H6,19,"A""",0.0,
140,1213,"phosphine, (trifluoromethyl)-",CF3PH2,11,"A""",223.1,
141,1213,Dimethyl ether,CH3OCH3,20,B2,161.5,0.4
142,1214,adamantane,C10H16,10,E,0.0,
145,1214,1-Butanethiol,C4H9SH,31,"A""",0.2,
148,1214,Styrene,C6H5CHCH2,17,A,2.9,
149,1215,"1,3-Dioxolane",C3H6O2,8,A,85.1,
150,1215,Uracil,C4H4N2O2,12,A',13.9,
153,1215,Octane,C8H18,29,Au,0.0,
154,1215,"Butane, 1-chloro-",CH2ClCH2CH2CH3,29,"A""",0.2,
155,1215,Acetone,CH3COCH3,19,B,76.4,0.8
156,1215,Sulfur imide,HNS,2,A',60.3,
157,1216,borohydride,BH4,3,A1,53.6,
159,1216,Ethylene,C2H4,11,B3g,0.0,1.3
161,1216,"Propane, 1,2,3-trichloro-",C3H5Cl3,7,A',39.1,
165,1216,"trans-1,2-dichloro-1,2-difluoroethylene",CFClCClF,2,Ag,0.0,
166,1216,"(E)-1,2-Dimethyldiazene",CH3NNCH3,6,Ag,0.0,
168,1217,"1,2-Ethanediol",C2H6O2,10,Au,6.6,
169,1217,"1,3,5-Trioxane",C3H6O3,16,E,332.9,
173,1217,Buckminsterfullerene,C60,42,Hu,0.0,
175,1217,"(Z)-Hexa-1,5-diyne-3-ene",C6H4,5,A1,0.1,
177,1217,"1,3-Butadiene, 2-chloro-",CH2CClCHCH2,11,A',52.5,13.6
178,1217,Sarcosine,CH3NHCH2COOH,17,A,1.6,
179,1217,Diborane(2),HBBH,2,Σg,0.0,
181,1218,"1,3,5-Trithiane",C3H6S3,8,A2,0.0,
182,1218,"Thiophene, tetrahydro-3-methyl-",C5H10S,22,A,2.0,
188,1218,benzaldehyde,C6H5CHO,14,A',15.6,1.8
190,1218,Acetic acid,CH3COOH,10,A,248.5,
192,1218,Chloryl fluoride,ClO2F,5,"A""",291.2,
193,1219,"1,2-difluoroethane",C2H4F2,8,Au,6.9,0.0
194,1219,trioxolane124,C2H4O3,16,B,5.8,
195,1219,"2-Oxetanone, 4-methylene-",C4H4O2,10,A,4.3,
199,1219,"Butane, 2,2-dimethyl-",C6H14,19,A',6.7,
200,1219,Indene,C9H8,17,A',1.5,
201,1219,"Methane, bromochlorodifluoro-",CBrClF2,7,"A""",222.7,
202,1219,methylborane,CH3BH2,6,A',53.6,
203,1219,thionyl chloride,SOCl2,1,A',302.6,
205,1220,Ethanedithioamide,C2H4N2S2,21,Bu,222.5,
207,1220,"1,1-Dimethoxyethane",C4H10O2,33,"A""",262.7,
210,1220,cyclohexanone,C6H10O,36,"A""",32.9,
211,1220,Nitrobenzene,C6H5NO2,31,B2,15.8,
218,1221,Sulfur dioxide,SO2,1,A1,63.8,28.0
219,1222,"2-Propanethiol, 2-methyl-",C(CH3)3SH,31,"A""",2.8,1.8
220,1222,"2H-Thiete-1,1-dioxide",C3H4O2S,7,A',43.6,
223,1222,Pentanenitrile,C5H9N,31,"A""",0.0,
227,1222,nitrosobenzene,C6H5NO,12,A',13.0,0.2
228,1222,heptane,C7H16,26,A2,0.0,
230,1222,"1-Propanethiol, 2-methyl-",CH2(SH)CH(CH3)CH3,21,A,4.3,
231,1222,dibromomethane,CH2Br2,8,B2,104.0,
232,1222,n-propyl bromide,CH3CH2CH2Br,22,"A""",0.5,
233,1222,1-Propanamine,NH2CH2CH2CH3,27,"A""",0.0,
234,1223,"Ethene, chlorotrifluoro-",C2ClF3,3,A',255.6,0.2
237,1223,"1,3-Diazine",C4H4N2,21,B2,10.9,
239,1223,"Butane, 2,3-dichloro-, (r*,s*)-",C4H8Cl2,27,Au,57.8,
244,1223,aniline,C6H5NH2,27,"A""",5.8,
247,1223,"1,3-difluoropropane",CH2FCH2CH2F,8,A,1.5,8.3
248,1223,dichloroacetaldehyde,CHCl2CHO,5,A',14.7,
249,1223,"1,2-oxaziridine",CNOH3,8,A,0.4,
251,1224,Oxalic Acid,C2H2O4,4,Ag,0.0,
255,1224,Oxepane,C6H12O,29,A,3.9,1.9
257,1224,Norbornane,C7H12,21,A2,0.0,
258,1224,Methoxyacetonitrile,CH3OCH2CN,13,A,111.4,
259,1225,Bibenzyl,C14H14,55,B,0.4,
265,1225,"Methane, dibromochloro-",CHClBr2,2,A',36.1,
268,1226,triethylamine,C6H15N,32,E,19.4,
271,1226,pentafluoroethane,CF3CHF2,4,A',218.7,
272,1226,"cis-1,2-dichloro-1,2-difluoroethylene",CFClCFCl,9,B2,38.3,
273,1226,Serine,HO2CCHNH2CH2OH,16,A,45.8,
274,1227,Ethylene carbonate,C2H4CO3,7,A,244.6,
278,1227,"2,4-Cyclohexadienone",C6H6O,13,A',24.5,
279,1227,difluorodichloromethane,CF2Cl2,8,B2,253.1,0.7
280,1227,1-bromo-2-chloroethane,CH2BrCH2Cl,6,A',72.9,2.9
282,1228,1-Propanol,C3H7OH,18,A,67.7,3.2
283,1228,"1,4-Butanedithiol",C4H10S2,37,Bu,41.4,
291,1228,(E)-1-chloro-2-fluoroethene,CHFCHCl,5,A',6.8,
