Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity
115,1211,Pyrene,C16H10,8,Ag,0,
125,1212,Pyridine,C5H5N,6,A1,5.2,
169,1217,"1,3,5-Trioxane",C3H6O3,16,E,332.9,
177,1217,"1,3-Butadiene, 2-chloro-",CH2CClCHCH2,11,A',52.5,13.6
195,1219,"2-Oxetanone, 4-methylene-",C4H4O2,10,A,4.3,
200,1219,Indene,C9H8,17,A',1.5,
201,1219,"Methane, bromochlorodifluoro-",CBrClF2,7,"A""",222.7,
247,1223,"1,3-difluoropropane",CH2FCH2CH2F,8,A,1.5,8.3
255,1224,Oxepane,C6H12O,29,A,3.9,1.9
317,1231,Aziridine,C2H5N,6,A',18.7,
418,1239,meta-xylene,CH3C6H4CH3,18,A',0.4,
453,1242,Norbornadiene,C7H8,24,B1,0,
469,1243,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",CF2ClCFCl2,2,A,198.9,
485,1244,nitramide,NH2NO2,10,"A""",105.4,
610,1255,Ethaninidic acid,CH3C(OH)=NH,9,A',108.1,
687,1262,Tetracyanoethylene,C6N4,20,B3g,0,
785,1269,"1,1,1,2-tetrabromo ethane",CH2BrCBr3,3,A',33.9,12.1
954,1284,Carbonic acid,H2CO3,3,A1,46,
970,1286,Oxalamide,C2H4N2O2,21,Bu,266.7,
1002,1288,pentatetraene,C5H4,9,B2,18.8,
1008,1288,"1-Propene, 2-methoxy-",CH2C(CH3)OCH3,17,A,189.4,
1036,1291,"1,3-Dithiolane-2-thione",C3H4S3,8,A,3,
1064,1292,Trifluoromethylhypofluorite,CF3OF,2,A',405.7,
1192,1301,ethenol,CH2CHOH,8,A',3.3,
1416,1316,"Propanenitrile, 2-methyl-",CH3CH(CH3)CN,24,"A""",0.3,
1451,1320,Diboron tetrafluoride,B2F4,7,E,305,
1465,1321,phenylacetylene,C6H5CCH,29,B2,0.2,
1522,1327,Chromium hydride,CrH,1,Î£,497.9,
1545,1329,Sulfur tetrafluoride oxide,SOF4,1,A1,318,
1547,1330,difluoroacetylene,C2F2,3,Î£u,343.6,
1654,1341,"Ethene, 1,1-difluoro-",CH2CF2,10,B2,253.3,
1667,1342,Hydrogen peroxide,H2O2,6,B,118.8,
1705,1346,Methanimine,CH2NH,6,A',50.5,
1766,1353,Isopropyl nitrite,CH3CH(CH3)ONO,16,A,9,
2064,1381,Methanimidothioic acid,NHCHSH,5,A',36.9,6.9
2159,1390,Sulfuryl chloride,SO2Cl2,8,B2,288.7,
2401,1404,"Propane, 2,2-dichloro-",CH3CCl2CH3,24,B2,7.1,3.1
2827,1425,Nitryl fluoride,FNO2,1,A1,261.9,
2970,1439,Water-d1,HDO,3,A',90.5,
3028,1444,methyl isocyanide,CH3NC,3,A1,13.9,
3105,1449,Dinitrogen trioxide,N2O3,3,A',131.1,
3159,1453,Thiirane,C2H4S,13,B2,0,
3177,1454,Propadienal,C3H2O,4,A1,7.1,14.8
4395,1485,Methyl fluoride,CH3F,2,A1,13.4,5
4903,1562,lithium amide,LiNH2,2,A1,31,12.7
4993,1608,chloramine,NH2Cl,2,A',28.6,8
5163,1649,Zinc hydride,ZnH2,2,Î£u,435.2,
5186,1652,Ammonia Dimer,NH3NH3,16,Bu,30.7,
5249,1669,Nitrogen oxide sulfide,SNO,1,A',489,312.2
5462,1777,Boranimine,HBNH,3,Î£,84.8,
5689,2025,Arsenic monohydride,AsH,1,Î£,161,198.5
5702,2076,hydrogen isocyanide,HNC,2,Î£,81.5,
5717,2105,trisilane,Si3H8,3,A1,138.6,80.8
6013,2750,Methylidyne,CH,1,Î£,172.7,130.5
