Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole Moment
2,1201,perfluorobutadiene,C4F6,16,B,143.4,,1.012,-2.917
3,1201,"Propane, 2-methoxy-",C4H10O,23,A,81.6,,1.242,-1.582
4,1201,"Thiophene, 2,3-dihydro-",C4H6S,13,A,2.3,,1.487,-2.954
5,1201,2(5H)-Pyridinone,C5H5NO,22,"A""",0.0,,1.075,-5.168
15,1202,"2-Propenoic acid, methyl ester",C4H6O2,15,A,38.6,,1.637,-3.902
32,1204,"2,5-dihydrothiophene-3-ol",C4H6OS,13,A,22.5,,3.831,8.361
36,1204,"Methane, bromodichloro-",CHBrCl2,2,A',52.9,6.5,1.26,-1.931
37,1204,allenediol,HOCHCCHOH,5,A,30.7,,0.823,5.155
40,1205,1-chloro-1-fluoroethylene,C2H2ClF,5,A',210.8,,2.617,-2.7
42,1205,"1,2,3-Propanetriol",C3H8O3,18,A,13.1,,2.261,-1.587
46,1205,Cyclopentanamine,C5H11N,36,"A""",0.0,,1.361,0.795
47,1205,1-Pentanethiol,C5H12S,38,"A""",0.2,,1.735,-2.235
48,1205,"Cyclobutane, methylene-",C5H8,11,A',0.2,,,
51,1205,Calicene,C8H6,30,B2,3.6,,4.876,11.083
53,1205,monomethyl copper,CuCH3,2,A1,62.1,,,1.046
58,1206,Cyclopropylamine,C3H7N,8,A',0.7,,1.416,0.437
62,1206,"Pentane, 1-chloro-",C5H11Cl,36,"A""",0.1,,2.605,4.813
69,1206,1-amino vinyl alchohol,CH2C(OH)NH2,10,A,126.0,12.1,4.085,
70,1206,hydrogen thioperoxide,HOSH,3,A,61.9,,1.943,-1.821
73,1207,1-Chloro-2-ethoxyethane,C4H9ClO,31,"A""",7.5,,,2.408
80,1208,"1-Propanamine, 2-methyl-",C(NH2)H2C(CH3)HCH3,24,A,0.1,,0.999,0.719
84,1208,(E)-3-Pentenenitrile,C5H7N,17,A,0.0,,4.445,6.938
86,1208,orthodifluorobenzene,C6H4F2,26,B2,42.6,,2.841,-0.836
88,1208,"Ethane, 1,2-dibromo-",CH2BrCH2Br,16,Bu,97.2,,,3.478
89,1208,"Propane, 1,2-dichloro-",CH2ClCHClCH3,14,A,25.5,,,
90,1208,"Ethene, 1,2-dichloro-, (Z)-",CHClCHCl,3,A1,0.1,,1.816,4.468
91,1208,oxo acetic acid,CHOCOOH,7,A',26.8,,3.91,
94,1209,"1H-Tetrazole, 1-methyl-",C2H4N4,10,A',31.2,,5.991,0.865
102,1210,1-Butanamine,C(NH2)H2CH2CH2CH3,34,"A""",0.0,,0.999,0.719
105,1210,"1-Propene, 3-chloro-",C3H5Cl,11,A,0.6,,2.422,0.967
106,1210,Cyclopropanol,C3H5OH,11,A,41.9,,0.678,-3.451
116,1211,"2-Methyl-1,2-propanediamine",C4H12N2,15,A',33.0,,2.017,-3.718
120,1211,Chloromethylene,HCCl,2,A',7.9,,1.66,
123,1212,"Carbonochloridic acid, ethyl ester",C3H5ClO2,13,A,671.9,,4.353,3.393
128,1212,chlorofluoromethylene,CFCl,1,A',306.5,,0.533,2.302
131,1212,"Sulfur, pentafluoro(trifluoromethyl)-",SF5CF3,2,A',122.5,,0.72,-0.447
149,1215,"1,3-Dioxolane",C3H6O2,8,A,85.1,,1.869,1.939
154,1215,"Butane, 1-chloro-",CH2ClCH2CH2CH3,29,"A""",0.2,,2.486,1.238
156,1215,Sulfur imide,HNS,2,A',60.3,,1.707,1.258
157,1216,borohydride,BH4,3,A1,53.6,,1.152,
161,1216,"Propane, 1,2,3-trichloro-",C3H5Cl3,7,A',39.1,,1.786,1.765
165,1216,"trans-1,2-dichloro-1,2-difluoroethylene",CFClCClF,2,Ag,0.0,,0.425,-0.6
166,1216,"(E)-1,2-Dimethyldiazene",CH3NNCH3,6,Ag,0.0,,2.568,-5.306
177,1217,"1,3-Butadiene, 2-chloro-",CH2CClCHCH2,11,A',52.5,13.6,1.794,-6.625
182,1218,"Thiophene, tetrahydro-3-methyl-",C5H10S,22,A,2.0,,1.86,-5.977
194,1219,trioxolane124,C2H4O3,16,B,5.8,,2.417,1.85
195,1219,"2-Oxetanone, 4-methylene-",C4H4O2,10,A,4.3,,,
201,1219,"Methane, bromochlorodifluoro-",CBrClF2,7,"A""",222.7,,0.472,-2.019
219,1222,"2-Propanethiol, 2-methyl-",C(CH3)3SH,31,"A""",2.8,1.8,1.922,-0.786
220,1222,"2H-Thiete-1,1-dioxide",C3H4O2S,7,A',43.6,,5.695,-9.924
230,1222,"1-Propanethiol, 2-methyl-",CH2(SH)CH(CH3)CH3,21,A,4.3,,1.922,-0.786
233,1222,1-Propanamine,NH2CH2CH2CH3,27,"A""",0.0,,0.744,-3.485
234,1223,"Ethene, chlorotrifluoro-",C2ClF3,3,A',255.6,0.2,0.45,2.278
247,1223,"1,3-difluoropropane",CH2FCH2CH2F,8,A,1.5,8.3,,
249,1223,"1,2-oxaziridine",CNOH3,8,A,0.4,,4.101,-2.138
255,1224,Oxepane,C6H12O,29,A,3.9,1.9,,
258,1224,Methoxyacetonitrile,CH3OCH2CN,13,A,111.4,,3.439,3.593
272,1226,"cis-1,2-dichloro-1,2-difluoroethylene",CFClCFCl,9,B2,38.3,,0.425,-0.6
